"DATE","perday"
"1/1/2000","162"
"1/1/2001","165"
"1/1/2002","162"
"1/1/2003","169"
"1/1/2004","170"
"1/1/2005","181"
"1/1/2006","184"
"1/1/2007","191"
"1/1/2008","203"
"1/1/2009","206"
"1/1/2010","215"
"1/1/2011","300"
"1/1/2012","300"
"1/1/2013","300"
"1/1/2014","300"
"1/1/2015","300"
"1/1/2016","310"
"1/1/2017","325"
"1/1/2018","325"
"1/1/2019","331"
"1/1/2020","331"
"1/1/2021","353"
"1/1/2022","353"
"1/1/2023","353"
